Flight No.,Date,Time,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome
"January 3, 202602:09[473]",F9B5B1081‑21,"Vandenberg,SLC‑4E",CSG-3,"2,230 kg (4,920 lb)",SSO,ASI,Success,Success (LZ‑4)
"January 4, 202606:48[474]",F9B5B1101‑1,"Cape Canaveral,SLC‑40",Starlink:Group 6-88,"~16,675 kg (36,762 lb)",LEO,SpaceX,Success,Success (JRTI)
"January 9, 202621:41[475]",F9B5B1069‑29,"Cape Canaveral,SLC‑40",Starlink:Group 6-96,"~16,675 kg (36,762 lb)",LEO,SpaceX,Success,Success (ASOG)
"January 11, 202613:44[476]",F9B5B1097‑5,"Vandenberg,SLC‑4E",Twilight(Pandoraand others 39 payloads),325 kg (717 lb) PANDORA,SSO,NASA& Various,Success,Success (LZ‑4)
"January 12, 202621:08[477]",F9B5B1078‑25,"Cape Canaveral,SLC‑40",Starlink:Group 6-97,"~16,675 kg (36,762 lb)",LEO,SpaceX,Success,Success (JRTI)
"January 14, 202618:08[478]",F9B5B1085‑13,"Cape Canaveral,SLC‑40",Starlink:Group 6-98,"~16,675 kg (36,762 lb)",LEO,SpaceX,Success,Success (ASOG)
"January 17, 202604:39[480]",F9B5B1100‑2,"Vandenberg,SLC‑4E",NROL-105(2Starshieldsatellites),Unknown,LEO,NRO,Success,Success (LZ‑4)
"January 18, 202623:31[481]",F9B5B1080‑24,"Cape Canaveral,SLC‑40",Starlink:Group 6-100,"~16,675 kg (36,762 lb)",LEO,SpaceX,Success,Success (ASOG)
"January 22, 202605:47[482]",F9B5B1093‑10,"Vandenberg,SLC‑4E",Starlink:Group 17-30,"~14,375 kg (31,691 lb)",SSO,SpaceX,Success,Success (OCISLY)
"January 25, 202617:30[483]",F9B5B1097‑6,"Vandenberg,SLC‑4E",Starlink:Group 17-20,"~14,375 kg (31,691 lb)",SSO,SpaceX,Success,Success (OCISLY)
"January 28, 202604:53[485]",F9B5B1096‑5,"Cape Canaveral,SLC‑40",GPS III-9,"4,350 kg (9,590 lb)",MEO,USSF,Success,Success (ASOG)
"January 29, 202617:53[486]",F9B5B1082‑19,"Vandenberg,SLC‑4E",Starlink:Group 17-19,"~14,375 kg (31,691 lb)",SSO,SpaceX,Success,Success (OCISLY)
"January 30, 202607:22[487]",F9B5B1095‑5,"Cape Canaveral,SLC‑40",Starlink:Group 6-101,"~16,675 kg (36,762 lb)",LEO,SpaceX,Success,Success (JRTI)
"February 2, 202615:47[488]",F9B5B1071‑31,"Vandenberg,SLC‑4E",Starlink:Group 17-32,"~14,375 kg (31,691 lb)",SSO,SpaceX,Success,Success (OCISLY)
"February 7, 202620:58[490]",F9B5B1088‑13,"Vandenberg,SLC‑4E",Starlink:Group 17-33,"~14,375 kg (31,691 lb)",SSO,SpaceX,Success,Success (OCISLY)
"February 11, 202617:11[491]",F9B5B1100‑3,"Vandenberg,SLC‑4E",Starlink:Group 17-34,"~13,800 kg (30,400 lb)",SSO,SpaceX,Success,Success (OCISLY)
"February 13, 202610:15[492]",F9B5B1101‑2,"Cape Canaveral,SLC‑40",Crew-12(Crew Dragon C212-5Freedom),"~13,000 kg (29,000 lb)",LEO(ISS),NASA(CTS),Success,Success (LZ‑40)
"February 15, 202601:59[494]",F9B5B1081‑22,"Vandenberg,SLC‑4E",Starlink:Group 17-13,"~13,800 kg (30,400 lb)",SSO,SpaceX,Success,Success (OCISLY)
"February 16, 202607:59[495]",F9B5B1090‑10,"Cape Canaveral,SLC‑40",Starlink:Group 6-103,"~16,675 kg (36,762 lb)",LEO,SpaceX,Success,Success (ASOG)
"February 20, 202601:41[496]",F9B5B1077‑26,"Cape Canaveral,SLC‑40",Starlink:Group 10-36,"~16,675 kg (36,762 lb)",LEO,SpaceX,Success,Success (JRTI)
"February 21, 202609:04[497]",F9B5B1063‑31,"Vandenberg,SLC‑4E",Starlink:Group 17-25,"~14,375 kg (31,691 lb)",SSO,SpaceX,Success,Success (OCISLY)
"February 22, 202603:47[498]",F9B5B1067‑33,"Cape Canaveral,SLC‑40",Starlink:Group 6-104,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG)
"February 24, 202623:04[499]",F9B5B1092‑10,"Cape Canaveral,SLC‑40",Starlink:Group 6-110,"~16,675 kg (36,762 lb)",LEO,SpaceX,Success,Success (JRTI)
"February 25, 202614:17[500]",F9B5B1093‑11,"Vandenberg,SLC‑4E",Starlink:Group 17-26,"~14,375 kg (31,691 lb)",SSO,SpaceX,Success,Success (OCISLY)
"February 27, 202612:16[501]",F9B5B1069‑30,"Cape Canaveral,SLC‑40",Starlink:Group 6-108,"~16,675 kg (36,762 lb)",LEO,SpaceX,Success,Success (ASOG)
"March 1, 202610:10[502]",F9B5B1082‑20,"Vandenberg,SLC‑4E",Starlink:Group 17-23,"~14,375 kg (31,691 lb)",SSO,SpaceX,Success,Success (OCISLY)
"March 2, 202602:56[503]",F9B5B1078‑26,"Cape Canaveral,SLC‑40",Starlink:Group 10-41,"~16,675 kg (36,762 lb)",LEO,SpaceX,Success,Success (JRTI)
"March 4, 202610:52[504]",F9B5B1080‑25,"Cape Canaveral,SLC‑40",Starlink:Group 10-40,"~16,675 kg (36,762 lb)",LEO,SpaceX,Success,Success (ASOG)
"March 8, 202611:00[505]",F9B5B1097‑7,"Vandenberg,SLC‑4E",Starlink:Group 17-18,"~14,375 kg (31,691 lb)",SSO,SpaceX,Success,Success (OCISLY)
